OBJECTID,NAME,WARD,aggregationMethod,HasData,ORIGINAL_OID,PCTMinority,RAWTotalPop,population_acsipov200,population_acsipovbas,PCTNonWorkingAge,PCTSenior,PCTChildren,PCTUnemployment,KeyField,HeatSeverity,PCTTreeCover,AREASqKm,PopDensity,PopAdjFactor,GOAL,GAP,GapScore,PriorityIndex,TreeEquityScore,PCTPoverty,Status,TES,AreaSqMi,PopDens_SqMi,SHAPE_Length,SHAPE_Area
900,22nd and Craycroft,6,BlockApportionment:US.BlockGroups,1,404,78.42,482,103,289,55.39,8.3,36.51,14.69,404,6.61889250814332,7.44325678609416,0.284582863988327,1693.70703929584,1.2,18,10.5567432139058,60.5429912283837,0.599035782162573,63.7325818950434,64.3598615916955,01 High Priority,0 - 64,0.109878058084307,4386.6810936008,15195.3564879517,3072560.15367118
901,El Encanto,6,BlockApportionment:US.BlockGroups,1,413,29.52,332,217,315,64.76,25,10.24,8.65,413,1.93866171003717,30.5481477073167,0.492235803053696,674.473490023202,1.2,18,0,0,0.301948518160121,100,31.1111111111111,04 Low Priority,99 - 100,0.19005330609526,1746.87831967307,9216.59683477672,5298468.55366725
902,Santa Maria,1,BlockApportionment:US.BlockGroups,1,88,68.57,70,62,79,55.71,28.57,15.71,10.53,88,5.176,9.31774658154893,0.109410594076805,639.791791559607,1.2,18,8.68225341845107,49.7927800179395,0.425698072226878,,21.5189873417722,,,0.0422436665459678,1657.05313301413,5000.44592718527,1177666.71415267
903,Minarik Estates,2,BlockApportionment:US.BlockGroups,1,376,52.32,2087,789,1811,73.89,9.77,16.34,15.64,376,3.63865546218487,14.9415117374766,0.21186892145201,9850.43009468815,0.5,7.5,0,0,0.513596691538016,100,56.4329099944782,04 Low Priority,99 - 100,0.0818030479108244,25512.4968237747,6472.03990475584,2271740.40234983
904,Dos Hombres,2,BlockApportionment:US.BlockGroups,1,370,32.44,928,606,830,58.19,23.6,18.21,9.11,370,3.66197183098592,9.79635193455483,0.12122203360373,7655.37396471664,0.8,12,2.20364806544517,12.63793603703,0.325950314893656,95.8806607691242,26.9879518072289,04 Low Priority,89 - 99,0.0468040888433374,19827.3275462364,5982.84303905506,1304893.91208064
905,Carson Corner,4,BlockApportionment:US.BlockGroups,1,342,50.02,6014,3610,5898,61.56,16.25,22.2,12.1,342,4.59021512838307,7.65353954583717,2.59761381171325,2315.2017335608,1,15,7.34646045416283,42.1319986499405,0.437769042748719,81.5559152819252,38.7928111224144,03 Low-Moderate Priority,79 - 89,1.00294429989274,5996.34496217103,21148.9706654441,27957621.5172082
906,Mountain Vail,4,BlockApportionment:US.BlockGroups,0,318,0,0,0,0,0,0,0,0,318,6.46153846153846,0.45545021412788,0.0796255528161881,0,1.2,18,17.5445497858721,,,,,,,0.0307435978215132,0,3987.28046789212,886727.354994782
907,River Walk,3,BlockApportionment:US.BlockGroups,1,281,40.14,279,124,192,68.82,19,12.19,6.62,281,4.91402714932127,6.57119998490658,0.192222852028615,1451.44033113434,1.2,18,11.4288000150934,65.5442426745121,0.406759694885118,73.3392438482393,35.4166666666667,02 Upper-Moderate Priority,64 - 79,0.0742176580990914,3759.21320001089,7471.56110690511,2082681.98504694
908,Airpark 10 Annexation District,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,8437.55613922048,3396959.66808536
909,Northmall Centre,3,BlockApportionment:US.BlockGroups,1,273,36.67,619,323,656,70.11,19.55,10.34,11.37,273,5.06390977443609,9.32975650782124,0.467364892231416,1324.44693704871,1.2,18,8.67024349217876,49.7239030123873,0.469236869797407,76.6677113963575,50.7621951219512,02 Upper-Moderate Priority,64 - 79,0.180450593740942,3430.30181928161,12532.4203373972,5031625.59200807
910,Prince Village,3,BlockApportionment:US.BlockGroups,1,78,49.18,854,495,819,73.3,11.12,15.57,13.96,78,4.62068965517241,14.3092539948952,0.158636823217181,5383.36549283287,0.8,12,0,0,0.483423895463712,100,39.5604395604396,04 Low Priority,99 - 100,0.0612500198765328,13942.8526181948,5264.24616423206,1707668.79730128
911,Evergreen,3,BlockApportionment:US.BlockGroups,1,262,75,8,2,8,62.5,12.5,25,25,262,2.50802644003777,9.9122999925933,0.972398078844795,8.22708330471402,1.2,18,8.0877000074067,46.3830123253571,0.594471344487814,,75,,,0.375444997253184,21.3080479391903,13119.9343591287,10466753.4353807
912,Pima Verde West,6,BlockApportionment:US.BlockGroups,1,386,42,100,40,108,59,27,13,29.73,386,4.56716417910448,14.4372222638552,0.124004498319206,806.422358506585,1.2,18,3.5627777361448,20.432553568601,0.572261463602106,88.307236989704,62.962962962963,03 Low-Moderate Priority,79 - 89,0.0478784044761719,2088.62432017274,5342.62447245475,1345742.14441041
913,Woodland Hills,2,BlockApportionment:US.BlockGroups,1,109,17.65,34,27,31,55.88,32.35,14.71,12.5,109,3.39823008849558,17.1018912967154,0.200450765328296,169.617711083892,1.2,18,0.898108703284599,5.15065927467767,0.272756161298703,,12.9032258064516,,,0.0773944731847842,439.307854952676,6161.07333452743,2157773.04157508
914,Wakefield,5,BlockApportionment:US.BlockGroups,1,175,95.99,4787,1119,4087,57.61,12.22,30.17,15.36,175,5.71033720287452,7.62539639514669,1.63586418690337,2926.28204610409,1,15,7.37460360485331,42.2933998028215,0.639767919114517,72.9420396158706,72.6205040371911,02 Upper-Moderate Priority,64 - 79,0.631610693727743,7579.03570591452,18227.1191917778,16797713.4410789
915,Myers,4,BlockApportionment:US.BlockGroups,1,305,73.01,5613,1985,5272,62.23,9.67,28.08,17.45,305,4.556640625,7.49182824740806,2.29433295554358,2446.46270125608,1,15,7.50817175259194,43.0594140018104,0.568271783859492,75.5305499932468,62.3482549317147,02 Upper-Moderate Priority,64 - 79,0.885846906665563,6336.30930781033,20472.285613103,24663694.3755374
