site.ID,nativeUS,totalcount,routeID,easting,northing
136_01,Native,280,136,499049,3558482
136_02,Native,251,136,498202,3559066
136_03,Native,228,136,498461,3560008
136_04,Native,225,136,499167,3559022
136_05a,Native,30,136,497687,3560008
136_06,Native,276,136,498518,3560864
136_07,Native,366,136,499492,3560507
136_08,Native,231,136,500055,3560461
136_09,Native,232,136,498799,3561746
136_10,Native,282,136,499639,3561400
136_11,Native,207,136,501042,3561762
136_12,Native,196,136,501183,3561965
137_01,Native,338,137,495045,3556061
137_02,Native,334,137,496500,3556019
137_03,Native,347,137,495684,3556258
137_04,Native,340,137,496488,3556371
137_05,Native,224,137,497697,3556735
137_06,Native,241,137,494288,3557483
137_07,Native,269,137,495284,3557679
137_08,Native,283,137,496841,3557410
137_09,Native,426,137,497764,3557710
137_10,Native,287,137,498508,3557708
137_11,Native,308,137,497679,3558630
137_12,Native,418,137,498495,3558661
138_01,Native,364,138,496741,3554364
138_02,Native,223,138,497337,3554413
138_03,Native,110,138,497552,3555991
138_04,Native,120,138,498060,3555675
138_05,Native,87,138,498612,3556812
138_06,Native,51,138,499925,3556734
138_07,Native,82,138,499582,3557783
138_08,Native,86,138,500305,3557949
138_09,Native,75,138,500936,3558114
138_10,Native,139,138,500782,3559674
138_11,Native,133,138,501435,3559887
138_12,Native,68,138,502884,3559624
139_01,Native,226,139,498394,3554413
139_02,Native,392,139,499282,3554054
139_03,Native,286,139,499713,3555266
139_04,Native,298,139,500127,3555726
139_05,Native,245,139,501651,3555404
139_06,Native,310,139,500150,3556864
139_07,Native,284,139,501879,3556003
139_08,Native,191,139,501139,3557157
139_09,Native,228,139,501636,3558219
139_10,Native,277,139,502202,3558982
139_11,Native,150,139,503930,3558976
139_12,Native,216,139,503130,3559422
140_01,Native,65,140,500430,3554739
140_02,Native,45,140,501319,3554399
140_03,Native,120,140,502698,3554680
140_04,Native,26,140,502653,3555385
140_05,Native,42,140,502906,3556260
140_06,Native,56,140,502679,3557901
140_07,Native,36,140,503198,3557785
140_08,Native,82,140,504746,3557735
140_09,Native,51,140,505871,3557705
140_10,Native,232,140,505599,3558220
140_11,Native,36,140,505375,3559035
140_12,Native,39,140,505224,3560914
141_01,Native,59,141,503687,3555271
141_02,Native,83,141,503548,3556401
141_03,Native,53,141,504205,3556819
141_04,Native,118,141,505065,3556076
141_05,Native,56,141,506250,3556244
141_06,Native,127,141,506409,3557067
141_07,Native,170,141,506190,3558210
141_08,Native,164,141,506577,3559349
141_09,Native,145,141,506767,3560154
141_10,Native,139,141,505629,3561363
141_11,Native,119,141,506044,3561680
141_12,Native,117,141,505343,3562311
142_01,Native,87,142,503628,3554905
142_02,Native,36,142,504106,3554214
142_03,Native,67,142,504535,3555343
142_04,Native,41,142,505442,3555334
142_05,Native,55,142,506117,3555743
142_06,Native,73,142,507910,3555345
142_07,Native,47,142,507804,3556724
142_08,Native,69,142,507657,3557553
142_09,Native,41,142,507780,3558696
142_10,Native,58,142,507003,3559492
142_11,Native,50,142,507734,3560849
142_12,Native,41,142,507677,3561508
143_01,Native,138,143,505765,3554685
143_02,Native,104,143,506588,3554501
143_03,Native,35,143,507732,3554506
143_04,Native,62,143,508531,3554522
143_05,Native,58,143,509314,3554392
143_06,Native,135,143,510682,3553981
143_07,Native,175,143,511781,3554911
143_08,Native,130,143,512169,3554482
143_09,Native,51,143,508389,3555702
143_10,Native,110,143,510175,3555783
143_11,Native,226,143,511805,3555502
143_12,Native,52,143,511791,3556291
144_01,Native,272,144,509317,3555684
144_02,Native,282,144,509073,3556162
144_03,Native,177,144,509301,3556319
144_04,Native,151,144,510845,3556938
144_05,Native,161,144,508226,3557803
144_06,Native,321,144,508924,3557386
144_07,Native,226,144,510180,3557515
144_08,Native,100,144,508784,3558846
144_09,Native,94,144,509446,3558532
144_10,Native,109,144,508136,3559079
144_11,Native,87,144,509231,3559191
144_12,Native,92,144,508151,3560546
145_01,Native,42,145,513405,3554279
145_02,Native,32,145,514724,3554442
145_03,Native,10,145,516140,3554649
145_04,Native,26,145,516596,3554085
145_05,Native,25,145,517581,3553891
145_06,Native,34,145,512879,3555914
145_07,Native,19,145,513401,3555549
145_08,Native,31,145,514683,3555211
145_09,Native,6,145,515546,3555319
145_10,Native,23,145,513387,3556440
145_11,Native,19,145,514855,3556376
145_12,Native,42,145,513402,3557010
146_01,Native,593,146,509409,3574177
146_02,Native,582,146,510728,3573908
146_03,Native,500,146,513355,3574261
146_04,Native,372,146,514718,3574716
146_05,Native,592,146,511047,3575102
146_06,Native,618,146,513414,3575237
146_07,Native,451,146,514524,3575297
146_08,Native,493,146,510486,3577023
