"Neighborhood","AreaSqMi","AreaSqKm","PctTreeCov","TreeEquity","TES","PriorityCa","SpeciesCount"
"Dove - Wilmot Addition",0.1284772,0.3327543,10.74012,87.6101,"79 - 89","Moderate Priority",16
"North University",0.3703467,0.9591937,9.827714,81.98923,"79 - 89","Moderate Priority",7
"Miramonte",0.5042049,1.305885,13.48427,95.35415,"89 - 99","Low Priority",5
"River Walk",0.07421766,0.1922229,6.5712,73.33924,"64 - 79","High Priority",84
"Greasewood Park",0.3700745,0.9584884,2.442817,62.08173,"0 - 64","High Priority",22
"Silvercroft",0.09896931,0.2563293,9.974571,68.05159,"64 - 79","High Priority",10
"Richland Heights East",0.2547073,0.6596889,15.40708,93.03528,"89 - 99","Low Priority",20
"Barrio Blue Moon",0.128428,0.332627,9.586021,82.15546,"79 - 89","Moderate Priority",11
"Jefferson Park",0.4342377,1.124671,14.94693,99.82876,"99 - 100","Low Priority",93
"Barrio Hollywood",0.4843285,1.254405,9.292194,79.38004,"79 - 89","Moderate Priority",12
"Pullman",0.1082457,0.280355,7.937751,73.74992,"64 - 79","High Priority",196
"Coronado Heights",0.1749795,0.4531947,8.527114,73.58837,"64 - 79","High Priority",2
"El Conquistador",0.05833124,0.1510772,14.80667,94.68644,"89 - 99","Low Priority",24
"Rancho De Colinas",0.04805617,0.1244649,9.245648,100,"99 - 100","Low Priority",18
"San Clemente",0.192225,0.4978606,23.82286,100,"99 - 100","Low Priority",66
"Pantano's Edge",0.08174395,0.2117158,4.473289,79.49713,"79 - 89","Moderate Priority",31
"Santiago Hills",0.2758836,0.7145353,12.1148,86.52394,"79 - 89","Moderate Priority",14
"Wakefield",0.6316107,1.635864,7.625396,72.94204,"64 - 79","High Priority",30
"Ladera Brisas",0.0323707,0.08383974,12.02624,81.97938,"79 - 89","Moderate Priority",127
"Copper Vista",0.2412553,0.6248484,6.098283,66.57644,"64 - 79","High Priority",67
"Vista Del Monte",0.3017008,0.7814014,14.2379,98.33942,"89 - 99","Low Priority",32
"Vista Del Pueblo",0.09496351,0.2459544,5.39205,60.2634,"0 - 64","High Priority",22
"Tres Pueblos",0.3275545,0.8483623,4.134772,55.14879,"0 - 64","High Priority",12
"Adelanto",0.04378668,0.113407,8.07542,74.00407,"64 - 79","High Priority",173
"Samos",0.2639914,0.6837347,12.0812,84.64734,"79 - 89","Moderate Priority",20
"Myers",0.8858469,2.294333,7.491828,75.53055,"64 - 79","High Priority",70
