siteID,routeID,native,nonnative,total,easting,northing
147_01a,147,17,3,20,514059,3572397
147_02,147,435,18,453,514736,3572409
147_03,147,509,24,533,510544,3573197
147_04,147,523,21,544,511159,3573970
147_05,147,615,22,637,512393,3573319
147_06,147,426,26,452,513126,3573951
147_07,147,527,55,582,514307,3573844
147_08,147,290,43,333,511742,3574521
147_09,147,462,20,482,512979,3574160
147_10,147,435,20,455,511186,3574940
147_10a,147,9,0,9,511129,3574732
147_11,147,478,9,487,512879,3575246
148_01,148,32,0,32,512618,3571048
148_01a,148,249,28,277,512718,3571000
148_02,148,489,52,541,513656,3571353
148_03,148,396,43,439,514346,3571439
148_04a,148,343,21,364,515351,3571198
148_05,148,479,95,574,515310,3572607
148_06,148,12,0,12,515088,3573449
148_06a,148,349,52,401,515099,3573396
148_07,148,387,52,439,515437,3574644
148_08,148,370,28,398,515995,3575593
148_09,148,429,37,466,514820,3576221
148_10,148,336,10,346,516202,3576066
149_01,149,216,41,257,516986,3568358
149_02,149,238,73,311,517970,3568420
149_02a,149,75,6,81,517924,3568467
149_03,149,279,34,313,518925,3568236
149_04,149,380,7,387,520238,3568850
149_05,149,126,21,147,519336,3569822
149_05a,149,121,3,124,519181,3569788
149_06,149,335,73,408,519609,3570634
149_07,149,198,28,226,519889,3571600
149_07a,149,17,2,19,519584,3571223
149_08,149,173,36,209,519722,3572373
149_09,149,282,10,292,518612,3573973
149_09a,149,99,4,103,518458,3573814
149_10,149,317,33,350,519411,3573250
149_11,149,328,10,338,519702,3574213
149_12,149,85,0,85,519785,3574572
149_12a,149,196,5,201,520134,3574501
150_01,150,320,221,541,509593,3563820
150_02,150,367,18,385,510442,3563628
150_03,150,282,134,416,510469,3564102
150_04,150,309,196,505,511650,3564004
150_05,150,182,157,339,510131,3565156
150_06,150,149,92,241,511844,3565845
150_07,150,394,157,551,512164,3565908
150_08,150,265,242,507,511629,3566810
150_09,150,270,102,372,512520,3566779
150_10,150,414,133,547,512372,3567780
150_11,150,329,92,421,513131,3568090
150_12,150,464,81,545,512223,3569454
151_01,151,520,55,575,515611,3569943
151_02,151,624,45,669,516993,3569438
151_03,151,268,37,305,517594,3569326
151_04,151,397,104,501,518008,3569405
151_05,151,395,17,412,517798,3570698
151_06,151,334,52,386,518516,3570269
151_07,151,413,38,451,517697,3571395
151_08,151,611,7,618,518331,3571849
151_09,151,268,13,281,517343,3572702
151_09a,151,182,12,194,517357,3572644
151_10,151,432,6,438,518210,3572325
151_11,151,455,38,493,517112,3573878
151_12,151,391,27,418,517593,3574034
152_01,152,417,217,634,512009,3563836
152_02,152,169,245,414,512739,3564997
152_03,152,380,174,554,513742,3564483
152_04,152,263,85,348,513339,3565733
152_05,152,637,35,672,513911,3566073
152_06,152,463,130,593,514522,3566041
152_07,152,480,103,583,515392,3566608
152_08,152,250,61,311,513655,3567999
152_09,152,340,87,427,514695,3567377
152_10,152,486,77,563,513132,3568105
153_01,153,321,172,493,517945,3563320
153_02,153,321,69,390,517653,3564580
153_03,153,301,14,315,515969,3565867
153_04,153,215,43,258,516278,3565177
153_04a,153,11,2,13,516437,3565166
153_05,153,396,87,483,517305,3565410
153_06,153,220,144,364,516629,3566628
153_07,153,384,67,451,515663,3567394
153_08,153,402,81,483,516249,3567830
153_09,153,356,57,413,514105,3568621
153_10,153,512,113,625,515520,3568001
153_11,153,361,40,401,513186,3569413
153_12,153,363,26,389,514269,3569302
154_01,154,185,80,265,511312,3562468
154_02,154,228,148,376,512631,3562289
154_03,154,274,143,417,514014,3562525
154_04,154,221,194,415,511976,3563483
154_05,154,173,116,289,513026,3563275
154_06,154,221,59,280,514035,3563871
154_07,154,232,47,279,515645,3563091
154_08,154,161,56,217,516087,3563672
154_09,154,257,126,383,514597,3564712
154_10,154,222,53,275,515864,3564202
154_11,154,229,4,233,516471,3564329
154_12,154,276,39,315,514178,3565802
155_01,155,239,130,369,513789,3561386
155_02,155,210,135,345,514773,3561095
155_03,155,190,26,216,517393,3561630
155_04,155,177,49,226,518088,3561583
155_05,155,216,129,345,519205,3561419
155_06,155,165,59,224,520120,3561677
155_07,155,237,12,249,521797,3561458
155_08,155,259,7,266,522565,3561118
155_09,155,152,121,273,514335,3562156
155_10,155,240,84,324,515151,3562654
155_11,155,187,69,256,516614,3562113
155_12,155,176,64,240,517322,3562021
156_01,156,474,55,529,521755,3568753
156_02,156,581,70,651,520710,3569860
156_03,156,356,77,433,521410,3569501
156_04,156,354,12,366,520352,3570320
156_05,156,694,126,820,520111,3571315
156_06,156,407,12,419,521066,3571625
156_07,156,562,17,579,520388,3572862
156_08,156,378,40,418,521122,3572636
156_09,156,408,9,417,520656,3573187
156_10,156,465,8,473,521513,3573724
156_11,156,276,0,276,521896,3574116
156_12,156,168,0,168,522155,3574217
157_01,157,235,53,288,518452,3562025
157_02,157,211,85,296,518320,3563430
157_03,157,172,115,287,518168,3564142
157_04,157,266,144,410,518887,3564943
157_05,157,66,24,90,517794,3566525
157_05a,157,53,28,81,517778,3566545
157_06,157,239,43,282,518990,3566255
157_07,157,162,8,170,520603,3566775
157_08,157,225,14,239,517389,3567477
157_09,157,185,72,257,518802,3567318
157_10,157,244,16,260,519883,3567481
157_11,157,147,2,149,520430,3567494
157_12,157,192,34,226,520569,3568528
158_01,158,394,72,466,522389,3567599
158_02,158,352,43,395,522009,3568246
158_03,158,424,28,452,522166,3569077
158_04,158,408,24,432,521252,3570866
158_05,158,377,12,389,522509,3570278
158_06,158,394,31,425,522412,3571239
158_07,158,335,37,372,522755,3572662
158_08,158,401,15,416,522455,3573179
158_09,158,212,18,230,523547,3573687
158_09a,158,134,0,134,523254,3573661
158_10,158,325,1,326,523882,3573976
158_11,158,202,1,203,524570,3574717
158_12,158,84,0,84,526260,3574768
158_12a,158,109,0,109,524964,3574163
159_01,159,281,88,369,522658,3566426
159_02,159,375,3,378,523486,3566475
159_03,159,421,8,429,523897,3567796
159_04,159,349,68,417,523779,3568456
159_05,159,537,37,574,523387,3569583
159_06,159,490,28,518,523579,3570441
159_07,159,480,62,542,523130,3571220
159_08,159,467,46,513,523662,3572655
159_09,159,491,16,507,524194,3572114
159_10,159,444,8,452,524375,3573490
159_11,159,317,0,317,525284,3573548
160_01,160,72,0,72,522526,3564718
160_01a,160,333,46,379,522563,3564784
160_02,160,495,26,521,521882,3565745
160_03,160,431,26,457,522203,3565763
160_04,160,33,0,33,523287,3564954
160_04a,160,305,16,321,523470,3564964
160_05,160,310,35,345,524542,3565023
160_06,160,390,138,528,521752,3566407
160_07,160,81,0,81,524672,3566531
160_07a,160,301,3,304,524697,3566503
160_08,160,532,0,532,525115,3567088
160_09,160,610,30,640,526110,3566983
160_10,160,82,0,82,527307,3566568
160_10a,160,232,12,244,527355,3566306
160_11,160,127,0,127,521294,3567658
