"","siteID","n","routeID","easting","northing"
"566","148_03",22,148,514346,3571439
"567","148_04a",26,148,515351,3571198
"568","148_05",20,148,515310,3572607
"569","148_06",6,148,515088,3573449
"570","148_06a",21,148,515099,3573396
"571","148_07",27,148,515437,3574644
"572","148_08",23,148,515995,3575593
"573","148_09",31,148,514820,3576221
"574","148_10",24,148,516202,3576066
"575","149_01",20,149,516986,3568358
"576","149_02",27,149,517970,3568420
"577","149_02a",28,149,517924,3568467
"578","149_03",40,149,518925,3568236
"579","149_04",25,149,520238,3568850
"580","149_05",18,149,519336,3569822
"581","149_05a",17,149,519181,3569788
"582","149_06",22,149,519609,3570634
"583","149_07",32,149,519889,3571600
"584","149_07a",9,149,519584,3571223
"585","149_08",21,149,519722,3572373
"586","149_09",22,149,518612,3573973
"587","149_09a",22,149,518458,3573814
"588","149_10",24,149,519411,3573250
"589","149_11",26,149,519702,3574213
"590","149_12",15,149,519785,3574572
"591","149_12a",22,149,520134,3574501
"592","150_01",22,150,509593,3563820
"593","150_02",25,150,510442,3563628
"594","150_03",23,150,510469,3564102
"595","150_04",20,150,511650,3564004
"596","150_05",17,150,510131,3565156
"597","150_06",13,150,511844,3565845
"598","150_07",19,150,512164,3565908
"599","150_08",18,150,511629,3566810
"600","150_09",23,150,512520,3566779
"601","150_10",19,150,512372,3567780
"602","150_11",29,150,513131,3568090
"603","150_12",33,150,512223,3569454
"604","151_01",34,151,515611,3569943
"605","151_02",41,151,516993,3569438
"606","151_03",33,151,517594,3569326
"607","151_04",31,151,518008,3569405
"608","151_05",37,151,517798,3570698
"609","151_06",25,151,518516,3570269
"610","151_07",28,151,517697,3571395
"611","151_08",47,151,518331,3571849
"612","151_09",30,151,517343,3572702
"613","151_09a",25,151,517357,3572644
"614","151_10",37,151,518210,3572325
"615","151_11",35,151,517112,3573878
"616","151_12",34,151,517593,3574034
"617","152_01",23,152,512009,3563836
"618","152_02",17,152,512739,3564997
"619","152_03",26,152,513742,3564483
"620","152_04",22,152,513339,3565733
"621","152_05",31,152,513911,3566073
"622","152_06",20,152,514522,3566041
"623","152_07",26,152,515392,3566608
"624","152_08",22,152,513655,3567999
"625","152_09",21,152,514695,3567377
"626","152_10",32,152,513132,3568105
"627","153_01",20,153,517945,3563320
"628","153_02",29,153,517653,3564580
"629","153_03",26,153,515969,3565867
"630","153_04",27,153,516278,3565177
"631","153_04a",4,153,516437,3565166
"632","153_05",24,153,517305,3565410
"633","153_06",21,153,516629,3566628
"634","153_07",28,153,515663,3567394
"635","153_08",22,153,516249,3567830
"636","153_09",30,153,514105,3568621
"637","153_10",27,153,515520,3568001
"638","153_11",40,153,513186,3569413
"639","153_12",33,153,514269,3569302
