"","siteID","native.US","totalcount","routeID","easting","northing"
"259","111_10","Native",266,111,503149,3577498
"260","111_10","Non-native",71,111,503149,3577498
"261","111_11","Non-native",34,111,504489,3577418
"262","111_11","Native",292,111,504489,3577418
"263","111_12","Native",314,111,501685,3578732
"264","111_12","Non-native",256,111,501685,3578732
"265","112_01","Native",314,112,499102,3578747
"266","112_01","Non-native",126,112,499102,3578747
"267","112_02","Native",382,112,502027,3578632
"268","112_02","Non-native",58,112,502027,3578632
"269","112_03","Native",386,112,503466,3578327
"270","112_03","Non-native",79,112,503466,3578327
"271","112_04","Native",370,112,498179,3579118
"272","112_04","Non-native",28,112,498179,3579118
"273","112_05","Native",369,112,499680,3579611
"274","112_05","Non-native",22,112,499680,3579611
"275","112_06","Non-native",106,112,502411,3579981
"276","112_06","Native",300,112,502411,3579981
"277","112_07","Native",357,112,499618,3580845
"278","112_07","Non-native",40,112,499618,3580845
"279","112_08","Non-native",47,112,500175,3580208
"280","112_08","Native",345,112,500175,3580208
"281","112_09","Native",360,112,501392,3580543
"282","112_09","Non-native",62,112,501392,3580543
"283","112_10","Non-native",62,112,502030,3580007
"284","112_10","Native",307,112,502030,3580007
"285","112_11","Native",264,112,501297,3581181
"286","112_11","Non-native",28,112,501297,3581181
"287","112_12","Non-native",69,112,502433,3581217
"288","112_12","Native",398,112,502433,3581217
"289","113_01","Native",215,113,499761,3573453
"290","113_01","Non-native",28,113,499761,3573453
"291","113_02","Native",278,113,499646,3574045
"292","113_02","Non-native",89,113,499646,3574045
"293","113_03","Native",245,113,499245,3575423
"294","113_03","Non-native",63,113,499245,3575423
"295","113_03a","Native",68,113,499911,3575207
"296","113_03a","Non-native",28,113,499911,3575207
"297","113_04","Native",254,113,500553,3575169
"298","113_04","Non-native",35,113,500553,3575169
"299","113_05","Native",434,113,500842,3576973
"300","113_05","Non-native",149,113,500842,3576973
"301","113_06","Non-native",50,113,501948,3576073
"302","113_06","Native",339,113,501948,3576073
"303","113_07","Native",394,113,500627,3577639
"304","113_07","Non-native",53,113,500627,3577639
"305","113_08","Native",513,113,500812,3578715
"306","113_08","Non-native",84,113,500812,3578715
"307","113_09","Native",412,113,500651,3579865
"308","113_09","Non-native",54,113,500651,3579865
"309","113_10","Native",222,113,501204,3579845
"310","113_10","Non-native",34,113,501204,3579845
"311","113_10a","Native",117,113,501873,3579498
"312","113_10a","Non-native",19,113,501873,3579498
"313","114_01","Native",425,114,498220,3570937
"314","114_01","Non-native",36,114,498220,3570937
"315","114_02","Non-native",65,114,499218,3570967
"316","114_02","Native",230,114,499218,3570967
"317","114_03","Native",392,114,496913,3571943
"318","114_03","Non-native",118,114,496913,3571943
"319","114_04","Non-native",43,114,497338,3571559
"320","114_04","Native",337,114,497338,3571559
"321","114_05","Native",227,114,498287,3571460
"322","114_05","Non-native",52,114,498287,3571460
"323","114_06","Non-native",96,114,499511,3571497
"324","114_06","Native",241,114,499511,3571497
"325","114_07","Native",373,114,500794,3571040
"326","114_07","Non-native",189,114,500794,3571040
"327","114_08","Non-native",171,114,501269,3571121
"328","114_08","Native",277,114,501269,3571121
"329","114_09","Native",341,114,502731,3570992
"330","114_09","Non-native",155,114,502731,3570992
"331","114_10","Native",385,114,495987,3572548
"332","114_10","Non-native",226,114,495987,3572548
"333","114_11","Native",317,114,496323,3572671
"334","114_11","Non-native",27,114,496323,3572671
"335","114_12","Native",386,114,495185,3573021
"336","114_12","Non-native",53,114,495185,3573021
"337","115_01","Native",328,115,498123,3572659
"338","115_01","Non-native",142,115,498123,3572659
"339","115_02","Native",355,115,499988,3572027
"340","115_02","Non-native",199,115,499988,3572027
"341","115_03","Non-native",225,115,500232,3572847
"342","115_03","Native",428,115,500232,3572847
"343","115_04","Non-native",158,115,501217,3572253
"344","115_04","Native",298,115,501217,3572253
"345","115_05","Native",346,115,498962,3573297
"346","115_05","Non-native",181,115,498962,3573297
"347","115_06","Non-native",149,115,500960,3573138
"348","115_06","Native",442,115,500960,3573138
"349","115_07","Native",288,115,498794,3574162
"350","115_07","Non-native",85,115,498794,3574162
"351","115_08","Non-native",93,115,500904,3574237
"352","115_08","Native",548,115,500904,3574237
"353","115_09","Native",415,115,498115,3575216
"354","115_09","Non-native",177,115,498115,3575216
"355","115_10","Non-native",104,115,498493,3576690
"356","115_10","Native",452,115,498493,3576690
"357","115_11","Native",486,115,499362,3576715
"358","115_11","Non-native",53,115,499362,3576715
"359","115_12","Native",507,115,499995,3577311
"360","115_12","Non-native",19,115,499995,3577311
"361","116_01","Native",357,116,491247,3575786
"362","116_01","Non-native",1,116,491247,3575786
"363","116_02","Native",390,116,491788,3576802
"364","116_02","Non-native",44,116,491788,3576802
"365","116_03","Native",320,116,491776,3577072
"366","116_03","Non-native",12,116,491776,3577072
"367","116_04","Native",347,116,492512,3577137
